"interv","week","NImpute","Estimate","StdErr","LCLMean","UCLMean","DF","Min","Max"
"ADF",1,52,76.96,3.67,69.76,84.16,515240,76.16,77.81
"ADF",12,52,76.53,4.08,68.53,84.54,1314.0,72.55,80.45
"ADF",24,52,72.12,4.67,62.93,81.31,339.02,65.72,77.90
"ADF",36,52,64.07,6.23,51.74,76.41,118.55,51.19,73.78
"ADF",48,52,74.29,5.54,63.34,85.23,159.53,65.53,84.79
"CON",1,52,64.13,4.67,54.96,73.30,499.93,59.15,69.65
"CON",12,52,75.90,4.82,66.42,85.39,388.25,70.50,82.10
"CON",24,52,72.46,5.55,61.51,83.41,189.72,63.82,79.97
"CON",36,52,66.40,6.21,54.11,78.68,134.63,55.90,77.35
"CON",48,52,69.29,5.48,58.47,80.10,198.48,60.74,77.15
"CR",1,52,75.89,3.85,68.34,83.44,3206.2,72.91,78.63
"CR",12,52,80.55,4.29,72.13,88.98,581.37,75.29,84.84
"CR",24,52,71.61,4.95,61.85,81.36,229.50,64.22,78.98
"CR",36,52,70.88,6.17,58.67,83.09,117.33,59.16,81.01
"CR",48,52,77.20,4.63,68.10,86.30,326.91,72.25,83.69

