"interv","week","NImpute","Estimate","StdErr","LCLMean","UCLMean","DF","Min","Max"
"ADF",1,52,81.11,4.39,72.48,89.74,441.66,75.53,85.04
"ADF",12,52,79.79,4.14,71.66,87.93,765.09,73.44,84.69
"ADF",24,52,79.23,4.48,70.42,88.04,381.30,74.28,85.12
"ADF",36,52,71.78,6.07,59.77,83.80,119.22,62.95,81.64
"ADF",48,52,79.52,5.05,69.56,89.49,202.62,70.47,88.11
"CON",1,52,71.34,4.40,62.71,79.97,677.89,65.41,75.29
"CON",12,52,80.47,4.78,71.08,89.87,344.18,74.46,86.08
"CON",24,52,83.29,4.59,74.28,92.31,459.06,77.90,89.91
"CON",36,52,76.87,5.62,65.77,87.98,164.73,66.29,85.04
"CON",48,52,74.20,5.41,63.54,84.87,188.33,62.44,82.63
"CR",1,52,79.04,3.93,71.32,86.75,1252.7,75.65,82.99
"CR",12,52,83.02,4.12,74.93,91.11,683.89,78.50,86.56
"CR",24,52,81.35,4.58,72.35,90.36,301.52,74.13,87.22
"CR",36,52,78.35,5.06,68.37,88.34,189.39,71.17,85.68
"CR",48,52,83.20,4.79,73.76,92.64,237.92,75.10,90.08

