"interv","week","NImpute","Estimate","StdErr","LCLMean","UCLMean","DF","Min","Max"
"ADF",1,52,73.46,4.33,64.98,81.95,1.04E6,72.47,74.20
"ADF",12,52,72.61,5.08,62.64,82.59,657.52,65.26,76.82
"ADF",24,52,69.23,5.44,58.53,79.92,370.84,61.10,76.43
"ADF",36,52,62.80,6.07,50.83,74.78,207.82,55.25,71.85
"ADF",48,52,74.69,6.55,61.75,87.63,159.02,61.52,85.60
"CON",1,52,63.51,5.25,53.20,73.82,779.62,57.73,68.17
"CON",12,52,70.46,5.49,59.68,81.24,502.98,64.48,76.61
"CON",24,52,73.50,6.30,61.08,85.92,218.53,60.82,81.68
"CON",36,52,65.37,7.50,50.53,80.21,126.45,52.24,77.53
"CON",48,52,70.50,6.25,58.19,82.81,227.14,58.99,79.73
"CR",1,52,72.35,4.62,63.29,81.41,2151.6,68.95,76.33
"CR",12,52,77.40,4.96,67.66,87.14,723.93,71.14,82.30
"CR",24,52,66.15,5.92,54.47,77.82,216.60,56.99,75.38
"CR",36,52,66.06,6.35,53.51,78.60,167.10,56.77,77.24
"CR",48,52,73.24,5.51,62.41,84.07,312.71,65.88,80.78

