"interv","week","NImpute","Estimate","StdErr","LCLMean","UCLMean","DF","Min","Max"
"ADF",1,52,79.86,4.50,71.04,88.69,802.12,73.93,84.02
"ADF",12,52,77.43,4.40,68.80,86.05,1080.6,72.23,81.75
"ADF",24,52,78.06,4.57,69.08,87.03,668.50,71.54,82.88
"ADF",36,52,69.95,6.58,56.92,82.97,120.51,59.57,80.52
"ADF",48,52,76.75,5.75,65.40,88.10,173.16,67.83,87.20
"CON",1,52,71.01,5.08,61.01,81.00,407.98,64.29,77.56
"CON",12,52,83.95,5.19,73.73,94.16,351.56,77.25,90.19
"CON",24,52,85.57,5.20,75.35,95.79,350.92,77.48,91.87
"CON",36,52,79.21,5.53,68.32,90.10,247.80,71.97,87.45
"CON",48,52,75.86,5.73,64.57,87.14,212.20,66.63,84.40
"CR",1,52,81.73,4.45,72.99,90.47,766.04,77.79,86.41
"CR",12,52,82.78,4.73,73.48,92.09,432.81,74.89,87.55
"CR",24,52,81.69,5.04,71.77,91.61,288.51,73.03,90.59
"CR",36,52,76.99,5.00,67.15,86.83,302.04,69.45,84.57
"CR",48,52,80.62,5.58,69.62,91.62,183.96,71.05,88.75

