"interv","week","NImpute","Estimate","StdErr","LCLMean","UCLMean","DF","Min","Max"
"ADF",1,52,44.13,5.28,33.77,54.49,3167.3,40.16,47.75
"ADF",12,52,40.32,5.67,29.19,51.45,866.40,35.29,46.88
"ADF",24,52,38.82,7.95,23.09,54.54,135.03,26.77,54.41
"ADF",36,52,40.55,7.98,24.77,56.33,133.87,28.40,56.32
"ADF",48,52,39.25,6.82,25.81,52.70,224.50,25.98,51.25
"CON",1,52,42.04,5.89,30.48,53.60,962.60,36.16,47.36
"CON",12,52,39.12,6.23,26.88,51.36,523.09,31.46,48.50
"CON",24,52,43.18,7.45,28.49,57.87,189.73,30.84,53.27
"CON",36,52,46.24,7.79,30.86,61.63,162.56,33.17,58.50
"CON",48,52,43.75,7.54,28.87,58.63,181.41,30.84,58.42
"CR",1,52,41.30,5.01,31.48,51.12,15294,39.02,43.76
"CR",12,52,34.10,5.29,23.73,44.47,2153.2,29.30,39.33
"CR",24,52,42.06,6.97,28.32,55.80,194.08,31.93,55.32
"CR",36,52,44.25,7.17,30.09,58.41,174.70,33.09,54.50
"CR",48,52,42.14,7.09,28.15,56.13,181.86,31.66,57.49

