"interv","week","NImpute","Estimate","StdErr","LCLMean","UCLMean","DF","Min","Max"
"ADF",1,52,4.65,0.49,3.70,5.60,5688.3,4.38,4.94
"ADF",12,52,5.40,0.61,4.20,6.60,283.84,4.64,6.30
"ADF",24,52,5.67,0.69,4.31,7.02,169.68,4.97,6.76
"ADF",36,52,5.18,0.67,3.85,6.51,180.84,3.89,6.00
"ADF",48,52,5.68,0.66,4.38,6.99,192.71,4.37,6.85
"CON",1,52,6.23,0.57,5.12,7.34,682.82,5.56,6.89
"CON",12,52,6.26,0.61,5.06,7.46,362.93,5.33,7.27
"CON",24,52,5.96,0.73,4.52,7.40,160.55,4.87,6.86
"CON",36,52,4.95,0.66,3.64,6.26,228.48,3.91,5.98
"CON",48,52,5.44,0.67,4.12,6.76,218.58,4.10,6.50
"CR",1,52,5.83,0.47,4.90,6.76,6211.1,5.58,6.08
"CR",12,52,5.78,0.52,4.76,6.79,939.46,5.24,6.33
"CR",24,52,5.41,0.66,4.11,6.71,182.58,4.50,6.47
"CR",36,52,4.87,0.65,3.60,6.15,195.69,3.83,5.69
"CR",48,52,5.47,0.64,4.20,6.73,205.03,4.33,6.36

